asset.name,collection_slug,total_price,quantity,asset.num_sales,payment_token.usd_price,total_price_usd
ChinaBansICOBitcoinExchanges,cryptocards-collection,0.345,1,67.0,1975.27,681.4681499999999
ChipArt,chipart,0.2089,2,2.0,3950.54,412.633903
Chippy,chippys-world,0.2,2,3.0,3950.54,395.05400000000003
Chubbipig,chubbiverse-frens,0.23,1,3.0,1975.27,454.31210000000004
Chubbiwhal,chubbiverse-frens,0.12,1,1.0,1975.27,237.0324
Chubby,chubbylandnft,0.06,1,2.0,1975.27,118.5162
ChubbyKaiju,chubbykaijudao,0.717,4,9.0,7901.08,1416.26859
ChumChums,chumchumsnft,0.14,2,3.0,3950.54,276.5378
ClayFriend,clayfriends,0.7000000000000001,3,8.0,5925.8099999999995,1382.689
Clines,gen-art-collection,0.025,1,1.0,1975.27,49.381750000000004
CloneX,clonex,77.4,6,19.0,11852.15,152894.643
CoalitionCrew,coalition-crew-2-0,0.4,1,3.0,1975.8,790.32
CocoLuring,cyberbrokers,1.3,1,3.0,1975.27,2567.851
CodeHyperium,codehyperiumgenesis,0.2,1,2.0,1975.27,395.05400000000003
ColdBloodedCreepz,genesis-creepz,1.25,2,8.0,3950.54,2469.0874999999996
CollectorseBookTheQuestfortheDiamondFleece,tbac,0.32189999999999996,2,11142.0,3950.54,635.8394129999999
Colonist,colonists,0.229,3,3.0,5926.34,452.38983
Colonist,shatteredeon-colonist,0.6449999,10,17.0,19752.7,1274.048952473
Combat,gft-atari-50th-anniversary,0.1474,1,3.0,1975.27,291.154798
CommonDeedofLand,thewalkingdeadofficialdeaddeeds,0.2278,1,2.0,1975.27,449.966506
Commsaur,commsaur,0.063,2,4.0,3950.54,124.44201
Companion,nft-the-companion,0.341,3,3.0,5925.8099999999995,673.56707
Companion,shines-companion,0.054,2,2.0,3951.0699999999997,106.68047999999999
Confluence,confluence-by-devi-parikh,0.23,1,1.0,1975.27,454.31210000000004
ConiunPass,coniun-pass,1.1268799999999999,4,11.0,7901.08,2225.8922576
ConstantinoplEth,radicards-v2,0.01,1,1.0,1975.27,19.7527
Coodle,coodles,1.425,5,18.0,9877.41,2815.2553
CoolApe,coolapeclubofficial,0.41000000000000003,3,9.0,5925.8099999999995,809.8607
CoolCat,cool-cats-nft,8.29,1,4.0,1975.27,16374.988299999999
CoolCookie,coolcookies,0.0395,4,6.0,7901.08,78.023165
CoolDog,cooldogsofficial,0.779,5,21.0,9876.88,1538.78833
CoolGhouls,cool-ghouls-nft,0.074,2,2.0,3950.54,146.16997999999998
CoolHighTops,10ktf,0.7,1,3.0,1975.27,1382.6889999999999
CoolKid,coolkidznft,0.015,1,1.0,1975.27,29.62905
CoolKidsWalk,ckw,0.1319,12,21.0,23703.239999999998,260.538113
CoolMonke,coolmonkes,2.7819,6,19.0,11851.619999999999,5495.003613
CoolPet,coolpetsnft,15.098869,8,18.0,15802.16,29824.34296963
Coolbird,cool-birds-official,0.008,1,1.0,1975.27,15.80216
CoolmansUniverse,coolmans-universe,13.489,9,36.0,17777.43,26644.41703
CosmicCats,cosmiccatsofficial,1.7355,13,33.0,25678.51,3428.081085
CosmicCowgirls,cosmiccowgirls-nft,0.114,2,7.0,3950.54,225.18078000000003
CosmicMageVoidothoftheEther,forgottenruneswizardscult,3.0,1,2.0,1975.27,5925.8099999999995
CosmicTrippies,cosmictrippies,0.193,3,5.0,5925.8099999999995,381.22711
CosmicWyverns,cosmic-wyverns-official,0.055,1,2.0,1975.27,108.63985
Cosmiq,cosmiqs-official,0.562,7,13.0,13826.89,1110.10174
Cosmodino,cosmodinos-omega,1.68189999,12,43.0,23703.77,3322.2595932473
CouncilofKingz,council-of-kingz-official,0.149,1,1.0,1975.27,294.31523
CowSkull,the-sandbox-assets,0.0097,1,4.0,1975.27,19.160119
CozyPenguin,cozy-penguin,0.7949999999999999,14,28.0,27653.78,1570.33965
Crab,cryptantcrab,0.04,1,1.0,1975.27,79.0108
CrazyLizardArmy,crazy-lizard-army,0.015,1,2.0,1975.27,29.62905
CrazySkull,crazyskullznft,0.045,1,3.0,1975.27,88.88714999999999
CreepzInvasionPass,creepz-invasion-pass,0.936,5,39760.0,7901.08,1848.85272
CriminalGuildMembership,criminal-guild,0.098,1,926.0,1975.27,193.57646
Critterz,critterznft,1.98,1,4.0,1975.27,3911.0346
Crookz,crookz,0.4469,4,7.0,7901.08,882.748163
CrypToadz,cryptoadz-by-gremplin,2.0197499999999997,1,5.0,1975.8,3990.6220499999995
Cryptdog,glizzygang-v2,0.076,2,5.0,3950.54,150.12052
CryptoApe,cryptoapes-official,0.56,5,10.0,9876.35,1106.1512
CryptoBat,cryptobatz-by-ozzy-osbourne,35.2751,19,36.0,37530.13,69677.846777
CryptoBullDogs,cryptobulldogsofficial,0.02,1,1.0,1975.27,39.5054
CryptoChampions,cryptochampionsnft,0.08,2,3.0,3950.54,158.0216
CryptoChick,the-crypto-chicks,4.6789000000000005,5,36.0,9876.88,9242.722563
CryptoChimp,cryptochimpz-nft,0.15,1,1.0,1975.27,296.2905
CryptoColaBarrel,moon-crypto-cola,0.147,3,261.0,1975.27,290.36469
CryptoCountryClub,crypto-country-club,0.1,1,1.0,1975.27,197.52700000000002
CryptoDad,thecryptodads,0.245,1,2.0,1975.27,483.94115
CryptoHippo,cryptohipposnft,0.052,1,1.0,1975.27,102.71404
CryptoHootNo,cryptohoots-steampunk-parliament,0.5,1,3.0,1975.27,987.635
CryptoKids,cryptokidsdaogen1,0.003,1,1.0,1975.27,5.92581
CryptoMinersSyndicate,cryptominerssyndicate,0.39,1,1.0,1975.27,770.3553
CryptoMom,thecryptomoms,0.09,1,4.0,1975.27,177.77429999999998
CryptoMonkz,cryptomonkz-official,0.75,3,5.0,5925.8099999999995,1481.4525
CryptoPunk,cryptopunks,75.0,1,9.0,1975.27,148145.25
CryptoRayRays,cryptorayrays-collection,0.18,1,2.0,1975.27,355.54859999999996
CryptoRichDeluxeTradingCardStandard,dyl,0.0,1,539.0,1975.27,0.0
CryptoShibe,cryptoshibes,0.1669,9,19.0,17777.43,329.67256299999997
CryptoSkull,cryptoskulls,16.38,8,35.0,15802.16,32354.922599999998
CryptoTrex,cryptotrex,0.18,1,1.0,1975.27,355.54859999999996
CryptoTrunk,cryptotrunks,0.039,1,2.0,1975.27,77.03553
CryptoVandals,cryptovandals,0.055,1,1.0,1975.27,108.63985
CryptoVanz,cryptovanz,0.031,1,1.0,1975.27,61.23337
CryptoWolvesClub,cryptowolvesclub,0.079,1,2.0,1975.27,156.04633
CryptobotsPresaleMintPass,cryptobots-presale-mint-pass,0.1,1,36.0,1975.27,197.52700000000002
Cryptobull,crypto-bull-society,0.356,1,2.0,1975.27,703.19612
Cryptoid,thecryptoids,0.7,1,2.0,1975.27,1382.6889999999999
Cryptololi,crypto-loli-1,0.02,1,2.0,1975.27,39.5054
Cryptomories,cryptomories,7.228,6,40.0,11851.619999999999,14277.25156
CryptoonGoon,cryptoongoonz,1.158,2,7.0,3950.54,2287.36266
Cryptorasta,cryptorastas-collection,0.04,1,2.0,1975.27,79.0108
Cryptorunner,2112-cryptorunners,0.199,1,2.0,1975.27,393.07873
CryptorunnerrootPass,2112-run-rootpasses,0.15,1,449.0,1975.27,296.2905
CryptsandCaverns,crypts-and-caverns,0.638,4,8.0,7901.08,1260.22226
CrystalCastles,gft-atari-50th-anniversary,0.147,1,2.0,1975.27,290.36469
CuddlyCub,cuddly-cubs,0.1364,3,7.0,5925.8099999999995,269.426828
CunningWolf,cunning-wolf-society-cws,0.1,1,1.0,1975.27,197.52700000000002
Cup,coffeeclubofficial,0.0099999999999,1,3.0,1975.27,19.752699999802473
CupcatKitten,cupcatkittens,0.544,2,4.0,3951.0699999999997,1074.81188
CustomPixie,pixiejarscustoms,0.04,1,2.0,1975.27,79.0108
CuteLilThimble,10ktf-stockroom,3.68,1,914.0,1975.27,7268.993600000001
CyberChick,cyberchick,0.033,1,4.0,1975.27,65.18391
CyberKongVX,cyberkongz-vx,9.8,4,9.0,7901.08,19357.646
CyberRonin,cyberronin-haruka,0.159,1,3.0,1975.27,314.06793
CyberSnail,cyber-snails-official,0.192,2,3.0,3950.54,379.25184
CyberTurtle,cyberturtles-genesis,3.378,13,31.0,25678.51,6672.46206
Cybonix,cybonix,0.065,1,2.0,1975.27,128.39255
Cyborg,c86-cyborg,1.04,5,12.0,9876.35,2054.2808
Cyborg,cyborgbillionaireclub,0.2,1,1.0,1975.27,395.05400000000003
DAPEGenesis,dape-nft-activated,0.8999999999999999,3,6.0,5925.8099999999995,1777.743
DASK,dask-dead-army-skeleton-klub,0.28900000000000003,2,7.0,3950.54,570.85303
DB,deebies,0.04,1,3.0,1975.27,79.0108
DBear,3dbears,0.056,1,2.0,1975.27,110.61512
DDivineDonut,ocm-dessert,0.7969,1,918.0,1975.27,1574.0926630000001
DEGEN,niftydegen,0.6969,1,1.0,1975.27,1376.5656629999999
DEGENERATEREGENERATE,degenerate-regenerate,0.094,1,1.0,1975.27,185.67538
DEZUKI,dezuki,0.26,4,13.0,7901.08,513.5702000000001
DH,thediamondhands,0.02,1,2.0,1975.27,39.5054
DI,kokodinft,0.249,1,3.0,1975.27,491.84223
DailyBastard,hashbastards-daily-bastards,0.025,1,2.0,1975.27,49.381750000000004
DangerRanger,dangerrangers-official,0.02,2,2.0,3950.54,39.5054
DansekerdelPortoFarina,the-picaroons,0.125,1,3.0,1975.27,246.90875
DapperDino,dapperdinosnft,0.301888,2,5.0,3951.0699999999997,596.3696104
DastardlyDuck,dastardly-ducks,0.0024,1,1.0,1975.27,4.740647999999999
DeadFellaz,deadfellaz,9.64,2,11.0,3950.54,19041.6028
DeadfrenzLabAccessPass,deadfrenz-lab-access-pass,0.698,1,875.0,1975.27,1378.7384599999998
DeadfrenzLabAccessPassDF,deadfrenz-lab-access-pass,0.69,1,1577.0,1975.27,1362.9362999999998
Dealer,ppa-dealers,0.073,1,1.0,1975.27,144.19471
DeathCanyonUncommon,town-star,2.161,1,34.0,1975.8,4269.7038
Deathbat,deathbats-club,0.1,1,1.0,1975.27,197.52700000000002
DebtCity,debtcity,0.33,1,1.0,1975.27,651.8391
DecentrabisNuggy,decentrabis,0.004,1,1.0,1975.27,7.90108
Deed,wolf-game-land,0.39,1,1.0,1975.27,770.3553
DegenHero,dh-official,0.015,1,2.0,1975.27,29.62905
DegenToonzMinterRewardCard,degen-toonz-minter-rewards,0.1139,4,10.0,7901.08,224.983253
Degenz,degenz,1.045,2,4.0,3950.54,2064.15715
Delinquentz,dlnqntz,0.08900000000000001,2,3.0,3950.54,175.79903000000002
DentedFeels,dentedfeelsnft,1.9638,8,18.0,15802.16,3879.035226
Derage,derage,0.3229,4,6.0,7901.08,637.8146830000001
DerpyApes,derpyapes,0.003,1,1.0,1975.27,5.92581
DesperateApeWife,desperate-ape-wives,1.766,3,10.0,5925.8099999999995,3488.3268199999998
DestructiveDemigod,pxmythics-genesis,3.6299,3,7.0,5925.8099999999995,7170.032573
DeterminedAssault,parallelalpha,0.0039,1,188.0,1975.27,7.703552999999999
DiamondCryptoDunk,diamondcryptodunks,0.059,1,1.0,1975.27,116.54092999999999
Diesel,wolf-game-gem,0.175,1,283.0,1975.8,345.765
Digitspores,genhall,0.0,1,1.0,1975.27,0.0
Dippie,dippies,1.199,2,7.0,3950.54,2368.34873
DiscoRabbit,fluf-world-scenes-and-sounds,0.199,1,17.0,1975.27,393.07873
DjurleiteDrive,cryptovoxels,3.0766273879286636,1,1.0,1975.27,6077.1697805538515
DoctorsAssistantSE,parallelalpha,0.009,1,486.0,1975.27,17.77743
DodgersWorldSeriesChampionsMedal,candydigital,0.124,1,1.0,1975.27,244.93348
Dog,diamond-heist,0.104,1,1.0,1975.27,205.42808
Dogewood,defenders-of-dogewood,0.35,2,10.0,3950.54,691.3444999999999
DoggoVerse,doggoverse-nft,0.8,6,7.0,11851.619999999999,1580.2160000000001
Doggy,snoop-dogg-doggies,7.112,10,21.0,19752.7,14048.12024
Donut,donutshop,0.162,1,1.0,1975.27,319.99374
DonutFEED,stapleverse-feed-clan,0.789,2,5.0,3950.54,1558.48803
Doodle,doodle-apes-society-das,0.005,1,3.0,1975.27,9.87635
DoodleDogs,doodledogsofficial,0.5717,9,15.0,17777.43,1129.261859
Doodorie,doodories-official,0.144,3,3.0,5925.8099999999995,284.43888
Dooggie,dooggies,0.903,6,21.0,11851.619999999999,1783.66881
Dork,dumpsterdorks,0.8069999999999999,7,17.0,13826.89,1594.04289
DourDarcel,dourdarcels,3.11579,17,56.0,33579.59,6154.526513299999
DrCryptoPhil,drcryptophils,0.0069,1,1.0,1975.27,13.629363
Dracoverse,dracoverse,0.07,1,1.0,1975.8,138.306
DragonsOfMidgardDWyrmling,dragons-of-midgard-3d,0.06,1,1.0,1975.27,118.5162
Dreadfulz,dreadfulz,2.094399999,22,39.0,43455.94,4137.00548602473
Dreamer,dreamlandgenesisproject,0.075,1,3.0,1975.27,148.14525
DreamshappenintheClouds,beauty-in-chaos,0.01,1,1.0,1975.27,19.7527
DropBear,dropbearsnft,0.049,2,2.0,3950.54,96.78823
Droplets,official-droplets,0.14639,3,6.0,5925.8099999999995,289.1597753
Duck,hypnoduckzgenesis,0.625,1,3.0,1975.27,1234.54375
Duck,nonconformistducks,0.1499,2,3.0,3950.54,296.09297300000003
Duck,nonconformisthellducks,0.03,1,1.0,1975.27,59.2581
Duck,rubber-duck-bath-party,0.8609,5,12.0,9876.35,1700.509943
Dungeon,generativedungeon,1.0699999999999998,2,6.0,3950.54,2113.5388999999996
Duo,everai-heroes-duo,0.689499,3,13.0,5925.8099999999995,1361.94668973
Dynasty,dynastycollection,0.01,1,2.0,1975.27,19.7527
DystoApez,dystoapez-official,0.751,3,5.0,5925.8099999999995,1483.42777
DystoKing,dysto-kingz,0.0069,1,1.0,1975.27,13.629363
EA,ethereal-art-ladowska,0.093,1,2.0,1975.27,183.70011
ECode,e-code,0.39999,1,1.0,1975.27,790.0882473
ESSENCE,fvck-avatar-essence,1.774,2,11236.0,3950.54,3504.12898
EShell,e-shell,0.09,1,1.0,1975.27,177.77429999999998
ETHEREALS,etherealswtf,0.024999969696969687,2,4.0,3950.54,49.381690143333316
ETHrBrew,eth-r-brews-official,0.04,1,2.0,1975.27,79.0108
EasyDemonsClub,easydemonsclub,0.089,1,1.0,1975.27,175.79903
EclipseZxdiacMonkey,ghxsts-cxlture,0.2,1,395.0,1975.8,395.16
Edenhorde,edenhorde-official,5.071,6,21.0,11851.619999999999,10016.59417
EightBit,eightbitme,3.1390000000000002,3,8.0,5925.8099999999995,6200.37253
ElderlyApe,earc,0.325,2,5.0,3950.54,641.96275
ElectricDragonz,clashofdragonz-official,0.057,1,1.0,1975.27,112.59039
ElementalbyFangLijun,elemental-fang-lijun,1.2,4,6.0,7901.08,2370.324
Elf,ethernalelves,1.4100000000000001,2,6.0,3950.54,2785.1307
EllianaIntelligenti,galverse,0.449,1,1.0,1975.27,886.8962300000001
Encryptas,encryptas-1,0.65,2,7.0,3950.54,1283.9255
Engineer,gamaspacestation,0.08,1,2.0,1975.27,158.0216
Enigma,theenigma,0.735,3,6.0,5925.8099999999995,1451.82345
Ensemble,artcodemag,0.0927,3,3.0,5925.8099999999995,183.107529
ErasurePL,parallelalpha,0.0405,1,229.0,1975.27,79.998435
EternalKlayJimMij,eternal-klay,0.062,2,4.0,3950.54,122.46674
EthalienVOX,ethalien-vox,0.0289,1,3.0,1975.27,57.085302999999996
EtherCardsFounder,ether-cards-founder,0.276,1,1.0,1975.27,545.17452
EtherEmoji,emojikeys,0.03,1,1.0,1975.27,59.2581
EtherThing,etherthings,0.151,2,4.0,3950.54,298.26577
Ethlizards,ethlizards,1.103,2,4.0,3950.54,2178.72281
EuphoriansGenesis,the-euphorians,0.072,1,2.0,1975.27,142.21944
Evaverse,evaverse,0.64,2,3.0,3950.54,1264.1728
EveandtheSnake,smile-plz,0.01,1,1.0,1975.27,19.7527
EverydayGoddess,everyday-goddesses,0.44999999999999996,2,6.0,3950.54,888.8715
EvolutionApes,evoapesofficial,0.15,1,1.0,1975.27,296.2905
EvolutionChimps,evolutionchimpsofficial,0.009,1,2.0,1975.27,17.77743
EvolvedApe,evolved-apes-inc,0.056,2,2.0,3950.54,110.61512
ExecutiveProducer,nff-studio,2.49,2,7.0,3950.54,4918.4223
ExoHape,exohape,0.19890000000000002,4,4.0,7901.08,392.881203
ExpansionPhunk,expansionphunks,0.005,1,1.0,1975.27,9.87635
ExpansionPunk,expansionpunks,0.42000000000000004,2,4.0,3951.0699999999997,829.73
EyeStar,eyestars,0.025,1,1.0,1975.27,49.381750000000004
EyesofFashion,eyesoffashionnft,0.082,1,3.0,1975.27,161.97214
FCFBallerzBoredApes,fcf-ballerz-apes,0.43,2,3.0,3950.54,849.3661
FCFBallerzKnights,fcf-ballerz-knights,0.13,1,1.0,1975.27,256.7851
FLUFHausinFlamesLAPoster,fluf-haus,0.53,2,500.0,3950.54,1046.8931
FOMOMOFO,fomo-mofos,3.213,7,16.0,13826.89,6346.542509999999
FORM,-subtraction-,0.63,1,1.0,1975.27,1244.4201
FUC,featheredunderdogclub,0.3,2,3.0,3950.54,592.581
FULLSENDMETACARD,metacard-by-fullsend,5.54,5,12.0,9876.35,10942.995799999999
FULLSENDxAlienFrens,full-send-x-alien-frens,1.2,2,5.0,3950.54,2370.324
FVCK_AVATAR,lvcidiaavatars,0.85,1,2.0,1975.27,1678.9795
FVCK_CRYSTAL,fvck-crystal,2.2,1,8.0,1975.27,4345.594
FameLady,fameladysquad,0.179,1,1.0,1975.27,353.57333
FancyBear,fancybearsmetaverse,2.2808900000000003,5,8.0,9876.35,4505.3735903
FantomaticGaze,dream-capsules-by-obvious,0.2,1,1.0,1975.27,395.05400000000003
FarmLand,pixels-farm,2.589,4,17.0,7901.08,5113.97403
Farmer,wolf-game-farmer,0.739,1,1.0,1975.27,1459.72453
FashionApe,fashionapenft,0.188,1,2.0,1975.27,371.35076
FeelGangCollection,feelgang,0.025,2,2.0,3950.54,49.38175
FelineFiend,felinefiendznft,4.124201,33,114.0,65183.909999999996,8146.41050927
FenwayParkSteelEdition,candydigital,0.3,1,1.0,1975.27,592.581
FernosiaClusterface,cyberbrokers,1.29,1,5.0,1975.27,2548.0983
Fighter,raidpartyfighters,13.172,19,44.0,37530.13,26018.25644
Fighter,starkade-legion,0.122,1,1.0,1975.27,240.98293999999999
FilthyRichCryptoKid,frck,0.1,1,1.0,1975.27,197.52700000000002
FinnClear,cyberbrokers,1.7,1,4.0,1975.27,3357.959
FireElemental,pxmythics-genesis,0.777,1,3.0,1975.27,1534.78479
FireworkPacket,your-daytime-fireworks-firework-packets,0.365,1,4761.0,1975.27,720.9735499999999
FirstDayOut,firstdayout,0.13,1,1.0,1975.27,256.7851
FishyFam,fishyfam,4.604,10,26.0,19753.23,9094.35508
FlappyBoys,flappyboys,0.7605500000000001,8,19.0,15802.16,1502.2915985
FlappyMoonbird,flappy-moonbirds,0.0804,3,4.0,5925.8099999999995,158.811708
FlashDrive,frontiergame,0.108,1,2003.0,1975.27,213.32916
FlashGenesisPass,flash-genesis-pass,1.0,1,19.0,1975.8,1975.8
FleaRareBody,town-star,0.15,1,31.0,1975.27,296.2905
Flicker,official-clementines-nightmare,0.365804819995,1,4.0,1975.8,722.7571633461209
FloorXCreepz,floor-x-creepz,0.255,1,403.0,1975.27,503.69385
Floppy,floppycollection,0.5922000000000001,6,12.0,11851.619999999999,1169.754894
FlowerGirl,the-flower-girls,1.0,1,3.0,1975.27,1975.27
Flowersky,flowersbyron,0.01,1,1.0,1975.27,19.7527
FluffyPolarBears,fpb-old-collection,0.2,2,2.0,3950.54,395.05400000000003
ForestLust,naiagenesis,0.278,1,1.0,1975.27,549.1250600000001
ForestSpirit,forest-spirits-zenft,1.044,11,22.0,21727.97,2062.18188
Founder,crypto-club-global-genesis-collection,0.0,1,1.0,1975.27,0.0
FounderBricks,founderbricks,0.285,1,2.0,1975.27,562.9519499999999
FoundersPass,genetic-chain-founders-pass,0.14,1,1.0,1975.27,276.5378
FoundersPrivatePlot,treeverse-plots,1.5,1,2.0,1975.27,2962.9049999999997
FoxFam,foxfam,0.9468,2,7.0,3950.54,1870.1856360000002
Freak,fng-on-chain,0.16,1,2.0,1975.27,316.0432
Freak,freaks-n-guilds-migrated,0.015,1,1.0,1975.27,29.62905
FreeGuy,freeguys-official,0.173,2,2.0,3950.54,341.72171
FrenlyPanda,frenlypandas,0.6658,9,17.0,17777.43,1315.134766
FreshFool,fresh-fools-nft,0.052000000000000005,2,4.0,3950.54,102.71404000000001
Friend,jpierceandfriendsnft,0.18,2,4.0,3950.54,355.5486
FroggyFriend,froggyfriendsnft,0.7008,12,27.0,23703.239999999998,1384.269216
FroglandioSong,lobowrld,0.018,1,22.0,1975.27,35.55486
Fromtheplaygroundb,special-blend,0.2,1,13.0,1975.27,395.05400000000003
FroyoKittens,froyokittenscollection,0.298,1,4.0,1975.27,588.63046
FrustratedAdult,smile-plz,0.01,1,1.0,1975.27,19.7527
Fudder,fudders,0.8979,11,28.0,21727.97,1773.594933
Funcles,funclesnft,0.1325,2,7.0,3950.54,261.723275
FunkyFly,official-funky-flies,0.019,1,2.0,1975.27,37.53013
FunnyBone,tastybonesxyz,1.1,1,4.0,1975.27,2172.797
Future,curiocardswrapper,0.3,1,2232.0,1975.27,592.581
FuzzyFelon,fuzzyfelons,1.669,9,16.0,17777.43,3296.72563
FyatLux,fyat-lux-dawn,0.178,1,2.0,1975.27,351.59806
GEMMA,the-generative-electronic-museum-of-metaverse-art,0.8214,5,10.0,9876.88,1622.576878
GENARTMembership,gen-dot-art,0.245,1,2.0,1975.27,483.94115
GIToadz,gitoadz,0.9670000000000001,3,8.0,5926.34,1910.4978999999998
GMCOVFEFE,basqkek-1155,0.069,1,7.0,1975.27,136.29363
GNSS,gnssart,1.8900000000000001,4,7.0,7901.61,3733.414
GNSSSEED,gnssbymgxs,1.62,2,19.0,3950.54,3199.9374
GOOPDOODS,g00p,0.44500000000000006,3,10.0,5925.8099999999995,878.99515
GUCCIGRAILMINTPASS,10ktf-gucci-grail-mint-pass,1.15,1,2404.0,1975.27,2271.5604999999996
Gaia,exclusible-alpha,0.43,1,2.0,1975.27,849.3661
GalacticApe,galacticapes,0.14,1,2.0,1975.27,276.5378
GalacticChibi,chibi-galaxy,0.09,1,1.0,1975.27,177.77429999999998
GalacticMonke,galacticmonkes,0.128,2,4.0,3950.54,252.83456
GalaxyWarrior,galaxy-warriors-9999,0.349,3,5.0,5925.8099999999995,689.36923
GallianOrator,parallelalpha,0.01,1,227.0,1975.27,19.7527
GameKey,look-labs-game-key,1.075,3,8.0,5925.8099999999995,2123.41525
GameToken,internet-game-token,0.629,5,14.0,9876.35,1242.44483
Gamers,morethangamersnftmtg,0.52,2,3.0,3950.54,1027.1404
GamingApeClub,gamingapeclub,0.178,2,7.0,3950.54,351.59806
Gas,x0r,0.222,1,6.0,1975.27,438.50994000000003
Geisha,geisha-tea-house,0.111,1,1.0,1975.27,219.25497000000001
Gen,shadow-quest,1.124,5,9.0,9876.35,2220.20348
GenF,gen-f,2.22789,7,17.0,13827.42,4400.8035303
GenX,genx-by-hok,0.129,1,1.0,1975.27,254.80983
